"","onlyClusterGenes"
"888","PQLC3"
"889","PRSS42"
"890","PRSS45"
"891","PTPN20"
"892","PWWP2A"
"893","QARS"
"894","QPCTL"
"895","RAD51B"
"896","RAD51L3-RFFL"
"897","RARRES3"
"898","RARS"
"899","RASGRP4"
"900","RDX"
"901","RFX2"
"902","RIPK1"
"903","RNF219"
"904","RPL17-C18orf32"
"905","RPS20"
"906","RTN4"
"907","S100A13"
"908","SARS"
"909","SCFD1"
"910","SDAD1"
"911","SELENOP"
"912","SEPT10"
"913","SEPT11"
"914","SEPT12"
"915","SEPT14"
"916","SEPT1"
"917","SEPT2"
"918","SEPT3"
"919","SEPT4"
"920","SEPT5"
"921","SEPT5-GP1BB"
"922","SEPT6"
"923","SEPT7"
"924","SEPT8"
"925","SEPT9"
"926","SFTA3"
"927","SFTPD"
"928","SGK494"
"929","SIAH1"
"930","SLC26A10"
"931","SLC35E2A"
"932","SLCO1B7"
"933","SORBS2"
"934","SPERT"
"935","SPHAR"
"936","SSSCA1"
"937","ST5"
"938","SYNCRIP"
"939","SYS1-DBNDD2"
"940","SYT16"
"941","TAPBPL"
"942","TARS"
"943","TARSL2"
"944","TBCE"
"945","TCEANC2"
"946","TCHP"
"947","TCP10"
"948","TENT5A"
"949","THAP5"
"950","TLDC1"
"951","TMEM110-MUSTN1"
"952","TMEM136"
"953","TMEM165"
"954","TMEM173"
"955","TMEM189"
"956","TMEM189-UBE2V1"
"957","TMEM205"
"958","TMEM206"
"959","TMEM241"
"960","TMEM246"
"961","TMEM256-PLSCR3"
"962","TMEM56"
"963","TMEM56-RWDD3"
"964","TMEM8A"
"965","TMX2-CTNND1"
"966","TNKS1BP1"
"967","TROVE2"
"968","TSNAX-DISC1"
"969","TSTA3"
"970","TSTD3"
"971","TUBB6"
"972","TWISTNB"
"973","UBE2F-SCLY"
"974","UBE2NL"
"975","UFSP2"
"976","UPF3B"
"977","VARS"
"978","VGLL3"
"979","VPS51"
"980","WARS"
"981","WDR34"
"982","WDR63"
"983","WDR78"
"984","WDYHV1"
"985","WISP1"
"986","WISP2"
"987","WISP3"
"988","WRB"
"989","WRB-SH3BGR"
"990","YARS"
"991","Z82190"
"992","Z83844"
"993","Z84492"
"994","ZFP91-CNTF"
"995","ZHX1-C8orf76"
"996","ZNF23"
"997","ZNF286B"
"998","ZNF577"
"999","ZNF600"
"1000","ZNF625-ZNF20"
"1001","ZNF670-ZNF695"
"1002","ZNF689"
"1003","ZNF720"
"1004","ZNF814"
"1005","ZNRD1"
"1006",""
"1007",""
"1008",""
"1009",""
"1010",""
"1011",""
