"","newAnalysisData.Rho","oldData.Rho","newAnalysisData.p.adj","oldData.p.adj","newAnalysisData.permPValue","oldData.permp.2sided","RhoChange","RhoChangePercent","pChange","pChangePercent"
"HIC2",-0.258440675593907,-0.270951973789661,0.0523315398049918,0.03468333389547,0.107863091437568,0.178678110143464,-0.0125112981957541,0.0484107161808128,-0.0708150187058964,-0.656526878305588
"DNASE1",0.166582401529752,0.153479859016015,0.20241690586296,0.23584667751377,0.231239433804004,0.117306360564917,0.0131025425137369,0.0786550223397806,0.113933073239087,0.492706072510347
"MATN3",0.00973872393803307,-0.00605017493608974,0.962626935632404,0.977455069948909,0.934280263439907,0.955919448415034,0.00368854900194333,0.378750750654126,-0.0216391849751268,-0.0231613422887196
"WDR60",-0.0849699294100128,-0.0982242281307548,0.568963181977036,0.465827338092625,0.878016777217733,0.256821998320739,-0.013254298720742,0.155988110297055,0.621194778896994,0.707497618514126
"MEIG1",0.0930949336251263,0.0696022062051057,0.750657583461786,0.811860123765662,0.740068325525178,0.590029905979044,0.0234927274200206,0.252352373058462,0.150038419546134,0.202735902039398
"CCDC85A",0.147284522855302,0.103970917542649,0.346407837823719,0.529864223430998,0.422142759051935,0.739284434230777,0.0433136053126531,0.294081173452325,-0.317141675178842,-0.751266410185719
"TBL1X",0.00697962307214399,-0.023167502575852,0.978281560980157,0.918990943139093,0.980586837190878,0.89219597661115,-0.016187879503708,-2.31930568977494,0.0883908605797277,0.0901407781823221
"ZCCHC9",0.100895104790043,0.0967037169919243,0.56779587442771,0.563960297678858,0.214274227005962,0.233058511757035,0.0041913877981182,0.0415420332516653,-0.0187842847510729,-0.0876646949730928
"ELAVL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTOR1",-0.150939829538531,-0.203933372786773,0.469468650793728,0.268528047600888,0.230291128123903,0.0684899336023399,-0.0529935432482416,0.351090520045364,0.161801194521564,0.702594128743465
"TFIP11",-0.0211161747919999,0.00581461379723501,0.925100866568945,0.980198255118723,0.878891406571151,0.970180056860061,0.0153015609947649,-0.724636973575444,-0.0912886502889103,-0.103867951838394
"PTGR1",-0.0197929062953497,-0.0279970752038991,0.927133300437793,0.883727615620763,0.967376104552424,0.889409559512652,-0.00820416890854942,0.414500467295042,0.0779665450397723,0.0805958971622987
