"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","BinPercent","CatPercent","ContPercent","BinaryRankPercent","CatRankPercent","ContRankPercent"
"NACC1",3715,0.0510929707967914,0.0418615891867631,0.85963,1530,1342,11979,0.102095288936341,0.082829280335761,0.861055204140311,0.0943920044419767,0.0827935097785181,0.861055204140311
"HK3",3716,0.948865951704069,0.234718265087476,0.95507,13793,5327,13284,0.920392366208461,0.328786569559314,0.954930994824612,0.850947004750447,0.32864458017151,0.954859114433583
"IER2",3717,0.256827602263326,0.0281337567719036,0.52726,5269,964,7382,0.351594821833711,0.059498827305271,0.530621046578493,0.325066321179592,0.0594731322105003,0.530621046578493
"ATP5MF",3718,0.965645179330909,0.62004370025445,0.25513,14213,10940,3643,0.948418523955692,0.675225280829527,0.261860264519839,0.876858535381578,0.674933678820408,0.261860264519839
"CPSF4",3719,NA,0.92478283724634,NA,15316,15041,NA,NA,0.928342179977781,NA,0.944907150348572,0.927941267197236,NA
"PTCD1",3720,0.901694963375163,0.740626065825375,0.69865,12685,12476,9757,0.846456692913386,0.770028391556598,0.701336975273146,0.782589919180702,0.769695847985687,0.701336975273146
"VPS28",3721,NA,0.101600515917219,NA,15317,2788,NA,NA,0.172077521293667,NA,0.944968844469122,0.172003208094269,NA
"PTGER1",3722,0.24831744385879,0.367788818033516,0.06194,5184,7400,988,0.345922861337248,0.456733736575731,0.0710178263369753,0.319822320932815,0.456536492072306,0.0710178263369753
"LRRC14",3723,0.949744919633985,0.24806519247103,0.57317,13827,5552,8013,0.922661150407047,0.342673743982224,0.575977573317999,0.853044604849158,0.34252575729533,0.575977573317999
"ZNF333",3724,0.97182360416686,0.759062496037733,NA,14338,12730,NA,0.956759642332844,0.785705468460684,NA,0.884570300450367,0.785366154605466,NA
"PPP1R16A",3725,0.00781898143605206,0.00399724746503673,0.64895,96,204,9039,0.00640597891365274,0.0125910381434391,0.649726854514089,0.00592263557282991,0.0125856005922636,0.649726854514089
"ALKBH4",3726,0.901494865217841,0.302421720567926,0.91704,12680,6399,12780,0.8461230481783,0.394951240587582,0.918631397354802,0.782281448577951,0.394780677401444,0.918631397354802
"CCDC105",3727,0.724136680044441,0.736570774462538,0.9085,9339,12429,12649,0.623181636193781,0.76712751512159,0.909286946520989,0.57616139181936,0.766796224319822,0.90921506612996
"MRNIP",3728,0.690173230666001,0.997079684954092,0.36468,8906,16155,5158,0.594288002135326,0.997099123564992,0.37075905692927,0.549447837621075,0.996668517490283,0.37075905692927
"LTC4S",3729,0.36283952068925,0.715004048237951,0.85744,6181,12151,11944,0.412451621513413,0.749969139612394,0.858611270845313,0.381331359121476,0.749645258806836,0.858539390454284
"MAML1",3730,0.903068718347905,0.396551927037364,0.49812,12721,7820,6980,0.848858935006006,0.482656462165165,0.501725129384704,0.784810907520513,0.482448022703436,0.501725129384704
"PGLYRP2",3731,0.713346100128148,0.1224195014282,0.69331,9202,3228,9686,0.614039770452422,0.19923466238736,0.696233467510063,0.567709297303967,0.199148621136406,0.696233467510063
"POLR2J",3732,NA,0.195085722326894,NA,15318,4633,NA,NA,0.285952351561536,NA,0.945030538589672,0.285828860509593,NA
"LRWD1",3733,0.0989573667204401,0.409264166939247,0.75759,2836,8008,10542,0.189243293740825,0.494259967905197,0.757763082231167,0.174964525880684,0.494046517366895,0.757763082231167
"CELF5",3734,0.281829585390131,0.0352712741520245,0.66025,5476,1156,9216,0.365407713866275,0.0713492161461548,0.662449683726279,0.337837004133506,0.0713184033561602,0.662449683726279
"YDJC",3735,0.90793133925664,0.924835689555024,0.97804,12838,15042,13611,0.85666622180702,0.928403900752994,0.978364002300173,0.7920291196249,0.928002961317786,0.978364002300173
"DCUN1D1",3736,NA,0.081715264340206,NA,15319,2295,NA,NA,0.14164917911369,NA,0.945092232710223,0.141588006662965,NA
"FBXO17",3737,0.841969444747955,0.353628478589034,NA,11296,7185,NA,0.753770185506473,0.44346376990495,NA,0.696896785736319,0.443272256153989,NA
"THAP8",3738,0.108209570433878,0.263830042609374,NA,3034,5792,NA,0.202455625250234,0.357486730033329,NA,0.187179961749645,0.357332346227405,NA
"HBE1",3739,0.0216658315144,0.0318025507026617,0.37853,545,1073,5363,0.0363672761243828,0.0662263918034811,0.385494537090282,0.0336232956999198,0.0661977913504843,0.385494537090282
"GRIN2C",3740,0.903548428093819,0.776377092195575,0.89645,12730,12968,12490,0.849459495529161,0.800395012961363,0.897786083956297,0.785366154605466,0.80004935529644,0.897786083956297
